objectId,image,is_rrl,class,coord_ra,coord_dec,p_est,period_ref,n_epochs
737721793422308001,obj737721793422308001.png,False,non-variable,280.74091465442984,-49.08995579158363,0.459535358692882,,72
738172043433898052,obj738172043433898052.png,True,RRAB,61.60798946538163,-46.748736693597515,0.6963249516441039,0.6965000870620648,131
742310330322933584,obj742310330322933584.png,False,poor-fit,224.17225431947332,-41.9372053888188,0.5344418052256579,,87
743577998510281648,obj743577998510281648.png,False,non-variable,227.71765212141355,-41.25913473569559,0.5552128315854457,,108
744855699741227822,obj744855699741227822.png,True,RRAB,224.30924850499,-39.94379037836134,0.5034965034965082,0.50329,1246
746165149370433486,obj746165149370433486.png,False,non-variable,222.45400287004261,-37.55825535651028,0.4984768762115805,,202
746177587595718242,obj746177587595718242.png,False,non-variable,226.03366108529326,-37.88602127583297,0.47936085219707536,,316
746182123081188214,obj746182123081188214.png,False,non-variable,226.66035452693498,-38.43653839372545,0.653120464441223,,846
747509852091206691,obj747509852091206691.png,False,non-variable,223.81274514683642,-36.48342165482994,0.6574141709276882,,57
753408594535268240,obj753408594535268240.png,True,RRAB,291.1253715763081,-30.111843973238976,0.6226219301279875,0.6230228788,40
753908185131153123,obj753908185131153123.png,False,non-variable,54.85762400734142,-29.02060159765625,0.5047672462142504,,67
754860911956606818,obj754860911956606818.png,True,RRAB,289.7777210722322,-29.624293667876902,0.5662157911292904,0.5660554628,43
754862561224044455,obj754862561224044455.png,True,RRAB,289.02386753782264,-29.31325893753747,0.559875583203737,0.5599961697,41
754864897686261593,obj754864897686261593.png,True,RRAB,290.1515372393819,-28.544514014564445,0.5047672462142504,0.5040048192,46
754882489872305036,obj754882489872305036.png,True,RRAB,294.1862016478313,-29.415537259732304,0.6284916201117359,0.6283340057,42
754882627311259346,obj754882627311259346.png,False,non-variable,293.76805827639595,-29.404699877874837,0.4156084045255185,,41
755362495417320758,obj755362495417320758.png,False,non-variable,52.05685991143972,-28.019615574291624,0.5402160864345784,,181
756349719420095466,obj756349719420095466.png,False,poor-fit,288.18659512641756,-27.09251570394293,0.6426276329882223,,40
756352399479681885,obj756352399479681885.png,True,RRAB,290.1088847910838,-28.184998945833197,0.5022321428571476,0.5030468043,54
756380368306717999,obj756380368306717999.png,False,non-variable,297.3006545100525,-28.01642120498292,0.5191808479953898,,30
757830211826887370,obj757830211826887370.png,True,RRAB,285.1136326318887,-26.50431432937719,0.5810200129115602,0.5800679215,41
757892952709155268,obj757892952709155268.png,True,RRC,299.21941375385643,-26.33274003338137,0.4226344212256446,0.4225261545,45
759366023412466988,obj759366023412466988.png,False,non-variable,287.7902144359242,-24.156024506153305,0.5099150141643106,,40
759406018147927454,obj759406018147927454.png,True,RRC,297.2647724504909,-24.49855220279609,0.41647385469690434,0.416297,43
759421067713333158,obj759421067713333158.png,True,RRAB,300.61716800774684,-24.146044281088567,0.5316007088009497,0.5311687567,45
759475218661003815,obj759475218661003815.png,False,poor-fit,312.1762336757738,-24.528661856022076,0.7569386038687999,,35
760882730983496225,obj760882730983496225.png,False,poor-fit,283.54532743860005,-23.096236833858853,0.7036747458952339,,45
760897917987866764,obj760897917987866764.png,True,RRC,286.4847189684882,-22.747433240703305,0.419972001866547,0.420884,48
760904858655010795,obj760904858655010795.png,True,RRAB,288.00338226612945,-22.864934548041024,0.456389452332662,0.456691297,66
760978319775650698,obj760978319775650698.png,True,RRAB,305.8953444504963,-23.276230438779187,0.5073280721533305,0.5071159794,65
761013985184079157,obj761013985184079157.png,True,RRC,314.0490787022512,-22.93725443692363,0.4147465437788066,0.414775,43
762441357435351440,obj762441357435351440.png,True,RRC,284.24486476214696,-21.90541152248282,0.40714770413933976,0.4073787784,46
762449260175170942,obj762449260175170942.png,True,RRAB,284.9300035360779,-21.87407799145655,0.46814044213264455,0.469097,45
762455513647557036,obj762455513647557036.png,True,RRAB,286.35176803826226,-22.030981875246006,0.7188498402555941,0.7184702561,43
762471112968777883,obj762471112968777883.png,False,poor-fit,290.0970270271961,-21.513902009050376,0.4253308128544471,,198
762524714160638444,obj762524714160638444.png,True,RRAB,302.88833839228965,-21.82373465841303,0.5878510777269802,0.5874354436,71
764015720647370291,obj764015720647370291.png,False,non-variable,285.07088758806134,-20.270520398065926,0.4984768762115805,,58
764034687222959177,obj764034687222959177.png,True,RRC,288.6810649164353,-20.775143519831413,0.4088121735180606,0.4087040648,250
764035030820341027,obj764035030820341027.png,False,non-variable,289.5771461261846,-20.583359327433005,0.8999999999999999,,356
764037436002030326,obj764037436002030326.png,False,non-variable,288.6381366146387,-20.206240580168192,0.7086614173228378,,301
764043483315973121,obj764043483315973121.png,False,non-variable,290.60309716646765,-20.383371235400297,0.8763388510223957,,281
764070696228767955,obj764070696228767955.png,False,poor-fit,297.6131396687925,-20.36677516648859,0.40142729705620456,,45
764087326342137314,obj764087326342137314.png,True,RRAB,300.4248552501966,-19.679443066034437,0.49355634768303186,0.4936811308,51
